,unique_id,winning_bid,hours_final,hours_final_nan,age_at_sale,age_at_sale_nan,bucket,bucket_bin,engine,tires,transmission,score,original_price,predicted_price
6126,ironplanet_1948349,-0.6204892691849979,-5.159219745863608,0,0.0,1,General Purpose Smooth Edge Bucket,1,,,,48.03585696461545,8249.997,8582.97
5288,bigiron_DG6069,-0.9007007078353197,0.3501818881874928,0,1.6666666666666667,0,"72"" Bucket",1,"40 Hp, Liquid Cooled 4 Cylinder Diesel Engine",10-16.5NHS Tires,Hydrostatic Transmission,18.27063631008805,5700.0034,5452.0156
5719,rbauction_11156517,0.06931134680273665,0.15012527346336088,0,-0.6666666666666666,0,bkt,1,,,,48.648786018763246,20500.01,20116.393
2858,PW_BS9720,-0.33652920114355295,0.07222523310566231,0,0.3333333333333333,0,"68""W bucket",1,Caterpillar four cylinder turbo diesel engine,10-16.5 tires,Hydrostatic transmission,41.48548649613475,12000.001,12022.82
4439,bigiron_BN0055,0.3890819128799015,-2.8745043740369667,0,-1.0,0,5 1/2' Bucket,1,,10-15.5 Tires,,17.005211198117593,31260.992,31217.613
2920,PW_K8148,0.6307051605985086,0.01831864506736425,0,0.0,0,,0,Kubota four cylinder diesel engine,"14-17.5 foam-filled tires, Bobcat tracks",Two speed hydrostatic transmission,20.042504281832887,43000.02,49007.49
1332,rbauction_10752123,-0.6438094588007637,0.0,1,1.0,0,,0,,,,40.39817399203115,8000.001,7180.3994
1647,rbauction_11135341,-0.7450057390983122,-0.14019444422027535,0,0.6666666666666666,0,bkt,1,,,,21.611389236609373,6999.9995,6575.145
2709,PW_A8799,-0.9849926509182224,-0.3593949043838043,0,1.0,0,"61""W bucket",1,"41 HP, Yanmar 4TNE84 1.995L four cylinder diesel engine",10-16.5 tires,Hydrostatic transmission,44.37732569760317,5100.0005,4858.705
4950,rbauction_10242163,-0.09519019911061033,1.2883099531206321,0,0.6666666666666666,0,Q/C bkt,1,,,,28.03898670430165,16500.002,16373.301
5825,rbauction_10363732,0.3055924010504629,-0.6556436457546072,0,-0.3333333333333333,0,hyd Q/C bkt,1,,,,40.560115420037825,27999.998,31034.137
3996,rbauction_10746332,-0.09519019911061033,0.1927603483569944,0,0.3333333333333333,0,bkt,1,,,,42.0608925554652,16500.002,15522.434
688,rbauction_10868562,-0.11851038872637608,0.5566405416505541,0,-0.3333333333333333,0,bkt,1,,,,30.42175369958141,16000.009,15007.07
3369,PW_DE3349,-0.4747009299256124,-0.24514612825512866,0,0.3333333333333333,0,"73""W bucket",1,Yanmar 3.319L four cylinder diesel engine,14-17.5 tires,Two speed hydrostatic transmission,40.4243088079604,10000.001,8755.417
822,rbauction_10546147,0.0314111314391301,-0.5274817186968942,0,-0.3333333333333333,0,bkt,1,,,,49.81248754843653,19500.006,19776.98
3591,rbauction_10410631,-0.09519019911061033,-0.2605062148120242,0,-0.6666666666666666,0,bkt,1,,,,37.669985792136,16500.002,16184.026
4490,rbauction_10505619,-0.33652920114355295,0.7142501243174049,0,0.3333333333333333,0,bkt,1,,,,25.029571537457585,12000.001,11609.489
3097,PW_DA1326,0.0505981401487734,-0.2402654681006585,0,-0.6666666666666666,0,7'W bucket,1,"90 HP, Case 432T/M3 3.2L four cylinder turbo diesel engine",14-17.5 tires,Two speed hydrostatic transmission,41.820623060305756,19999.992,18918.664
3636,rbauction_10273234,-0.11851038872637608,-0.4673391582960363,0,-0.3333333333333333,0,bkt,1,,,,42.4757027940024,16000.009,12043.729
1677,rbauction_10253154,0.24942994385630435,0.09945693926650796,0,-0.3333333333333333,0,hyd Q/C bkt,1,,,,40.52891585346436,25999.994,26952.717
1149,rbauction_10411855,0.011725703531394238,0.18112338473090447,0,-1.0,0,,0,,,,40.20429174451858,19000.012,17399.229
3364,PW_EW9862,-0.8011681962924699,0.9371317043110652,0,1.0,0,,0,Deutz four cylinder turbo diesel engine,7.50x16 solid tires,Hydrostatic transmission,12.689406929947607,6499.9985,6170.924
3757,rbauction_11106511,-0.33652920114355295,-0.6199307800505602,0,0.3333333333333333,0,bkt,1,,,,23.34575774992231,12000.001,11375.543
4483,rbauction_10594071,-0.6927197423427893,0.4774410455263054,0,0.6666666666666666,0,bkt,1,,,,40.63334077169855,7499.9976,6956.994
1493,rbauction_10194933,-0.5135733665429933,0.7918826119483511,0,0.6666666666666666,0,Q/C bkt,1,,,,40.8436313896911,9500.0,9604.909
4254,rbauction_10076077,0.35787839780598585,-2.90656472077946,0,-1.0,0,bkt,1,,,,46.2944233427573,29999.99,27224.277
2114,PW_2276,0.0314111314391301,-1.0698118095247178,0,-1.0,0,,0,75 hp liquid cooled diesel engine,,,35.037873568837206,19500.006,22145.473
4620,rbauction_10863832,0.5567102015135168,-0.3581570670826911,0,-0.6666666666666666,0,bkt,1,,track kit,,22.648939019105807,38999.992,32719.396
6103,rbauction_10604849,-0.11851038872637608,0.15254897614028134,0,0.0,0,bkt,1,,,,48.15343357648571,16000.009,16010.449
1323,rbauction_10517189,-0.16742067226840174,-0.1373038916830753,0,-0.3333333333333333,0,bkt,1,,,,49.305860411577434,15000.002,13912.973
4163,rbauction_11129640,-0.07256623955150854,-1.0498742666839986,0,-0.3333333333333333,0,bkt,1,,,,18.93060004168206,17000.002,17171.97
