,unique_id,make,model,winning_bid,hours_final,age_at_sale,score,bucket,engine,tires,transmission,month_sold
1327,rbauction_10597832,BOBCAT,S570,37000,309.0,3.0,26.937516525267625,bkt,,,,Oct
1328,rbauction_11035063,NEW HOLLAND,LS180B,14000,3424.0,12.0,35.47617351882933,bkt,,cushion tires,,Jan
1329,rbauction_10367174,CASE,85XT,10500,,18.0,33.402107747281555,bkt,,,,Dec
1330,rbauction_10070425,BOBCAT,S130,11500,1768.0,6.0,22.841175747582717,bkt,,,,Jul
1331,rbauction_10126036,BOBCAT,S590,22000,,0.0,35.953803265539634,bkt,,,,Aug
1332,rbauction_10752123,CASE,75XT,8000,,18.0,40.398173992031154,,,,,Jul
1333,rbauction_10700874,MUSTANG,940,5000,1041.0,27.0,34.40102755546358,bkt,,,,Jun
1334,rbauction_10629696,CATERPILLAR,226B3 LRC,23000,1516.0,3.0,45.19340061545992,bkt,,,,Jun
1335,rbauction_11086154,BOBCAT,S160,11000,1287.0,15.0,29.23481302048767,bkt,,,,Feb
1336,rbauction_10019562,BOBCAT,S650,19000,1767.0,3.0,24.987204146808715,bkt,,,,Jun
1337,rbauction_10317239,CATERPILLAR,232B,17000,4022.0,9.0,54.77335742336407,bkt,,,,Nov
1338,rbauction_11135339,NEW HOLLAND,LS185,9500,,12.0,22.33626171140134,bkt,,,,Mar
1339,rbauction_11086156,BOBCAT,S130,11000,202.0,12.0,25.83088038158782,bkt,,,,Feb
1340,rbauction_10579544,BOBCAT,S300,19500,6877.0,12.0,33.878379493711854,bkt,,segmented tires,,Apr
1341,rbauction_10562895,BOBCAT,S510,15000,975.0,3.0,18.52378531162668,bkt,,aperture tires,,Apr
1342,rbauction_10343381,MATTSON,ML525W WALK BEHIND (UNUSED),8500,3.0,0.0,30.93750633664834,4-in-1 bkt,,,,Feb
1343,rbauction_10143791,DEERE,320,6000,3941.0,12.0,23.517009101825906,,,,,Sep
1344,rbauction_10806342,DEERE,318D,9500,2513.0,3.0,25.815329247202104,,,segmented tires,,Sep
1345,rbauction_10210761,CASE,SV300 2 SPD,35000,1312.0,3.0,27.27643853845551,hyd Q/C bkt,,,,Oct
1346,rbauction_10259798,BOBCAT,863G,6500,2964.0,18.0,41.351648860070476,bkt,,,,Feb
1347,rbauction_11251521,CATERPILLAR,246B,13000,3149.0,12.0,44.91157014923233,bkt,,solid tires,,May
1348,rbauction_11103538,BOBCAT,S550,16000,841.0,6.0,18.437028549526566,bkt,,aperture tires,,Mar
1349,rbauction_11018175,BOBCAT,S130,5500,2843.0,12.0,13.515248925476053,bkt,,solid tires,,Dec
1350,rbauction_11109747,DEERE,317,9000,2973.0,12.0,53.28910411936474,bkt,,solid tires,,Mar
1351,rbauction_11068321,NEW HOLLAND,L230,16000,57.0,6.0,29.545747134269362,,,,,Feb
1352,rbauction_10039151,BOBCAT,S450,16500,1888.0,0.0,22.404296730196236,,,,,Jun
1353,rbauction_10184353,CATERPILLAR,252B3 2 SPD,26000,558.0,3.0,28.327247927510147,hyd Q/C bkt,,,,Oct
1354,rbauction_10572892,BOBCAT,773G,9750,7401.0,18.0,22.108907289884034,,,,,Apr
1355,rbauction_10558371,BOBCAT,463,5000,2799.0,9.0,32.86335049424614,bkt,,,,Apr
1356,rbauction_11259284,BOBCAT,S70,16000,1300.0,0.0,23.86281404995892,bkt,,,,May
1357,bigiron_DG6066,BOBCAT,453,6100,2280.0,18.0,18.95055550869712,"36"" Bucket","15 Hp, 3 Cylinder Kubota Diesel Engine",5.70-12 Tires,Hydrostatic Transmission,Mar
1358,rbauction_10544105,CATERPILLAR,246C 2 SPD,16500,6402.0,9.0,31.304873075329233,bkt,,,,Apr
1359,rbauction_10565569,BOBCAT,S130,10000,4540.0,12.0,33.353696606780765,bkt,,,,Jun
1360,rbauction_10272597,BOBCAT,S570,34000,1102.0,3.0,26.90832425958113,hyd Q/C bkt,,,,Oct
1361,rbauction_10206520,BOBCAT,S250,11000,4166.0,9.0,25.997696183907404,bkt,,solid tires,,Sep
1362,bigiron_CW5318,DEERE,317,14000,2166.0,9.0,21.325411557129346,6' Bucket,4 Cylinder Diesel Engine,10-16.5 Tires,,Jun
1363,ironplanet_1613425,JCB,155 ECO,13500,609.0,3.0,39.55428480372626,"67"" Wide General Purpose Smooth Edge Bucket",,Cushion Tires,,Aug
1364,rbauction_11154186,CATERPILLAR,236,9500,6253.0,15.0,26.94124984317305,bkt,,,,May
1365,rbauction_10058335,CATERPILLAR,226B3,14000,2045.0,0.0,23.662283498181964,bkt,,,,Jun
1366,bigiron_AM3084,CASE,SV185,11750,,0.0,30.56094980008995,"82"" Bucket","4 Cylinder Diesel Engine, 55 HP",,,Nov
1367,rbauction_10712474,CATERPILLAR,262C,13500,6980.0,6.0,38.357018058078225,bkt,,,,Jul
1368,rbauction_10429008,BOBCAT,S570,25500,1241.0,3.0,22.571246570730725,bkt,,,,Feb
